Somali_homograph,Meaning_Index,Somali_definition
baad,1,Hanti qof ama dadkii laga adkaado baxsho.
baad,2,Hadiyad la siiyo qof madax ah.
baad,3,Qof laga adag yahay hanti khasab uga qaadid.
baad,4,"Caws, caleen, xaab iwm oo ay xooluhu daaqaan; daaq."
baad,5,Mid ka mid ah labada garab ee haadda ama dayuurad; baal.
baad,6,Hooy ka dhixid .
baadisooc,1,Sumad u gaar ah qof oo xoolihiisa ku astaysto.
baadisooc,2, baadi xoolo ku jirta ka aqoonsasho.
baah,1,baahid.
baah,2,"War, cudur, daad iwm aad u faafid."
baahi,1,Dareen nafleyda ku dhaca marka ay muddo cunto moogaato; gaajo.
baahi,2,cid in ay wax u baahato badid.
baaho,1,Iskaashi iyo wax wadaqabsi dad gaar ah ka dhaxeeya.
baaho,2,Baahi dareemid .
baaho,3,wax la'aantiis u mucurteysnaan.
baal,1,Garbaha haadda ama daayuuradaha ay ku duulaan midkood.
baal,2,"Dhinac, doc. Tus. Baasha midigta ee albaabka istaag."
baalash,1,"Rinji midabbo badan leh oo gasacado yaryar ku jira oo kabaha la mariyo, luujito."
baalash,2,Burush.
baalash,3,Kabo luujito marin. baalashee.
baalcad,1,Waxaro abab ah.
baalcad,2,Qaloon loogu talagalay in alla bari lagu samaysto; salool.
baali,1,Wax duug noqday muddo dheer dabadeed .
baali,2,"Koofiyad, gammuun iwm. baal u yeelid."
baalid,1,wax muddo dheer jiray oo aad gaboobay.
baalid,2,"Wax muddo dheer jiray, aad gaboobid."
baaltaag,1,baaltaagid.
baaltaag,2,"Gorayo, cantalaay iwm baal fidin."
baan,1,Koox ciidamada ka tirsan oo tunta muusikada gaardiska.
baan,2,Cunno nafaqo leh oo lagu dheefiyo qof buka ama dhaawac ah.
baan,3,"Hadal dhaar, faan iyo handadaad isugu jira dhihid."
baanji,1,Baaris aan xasillooni iyo nidaam lahayn. baanjiyid.
baanji,2,Si aan xasilooni iyo nidaam lahayn wax u baarid.
baanso,1,"Geed leh laamo dhaadheer oo xubno leh oo sida dhuumihii dhexda ka daloola, waxaana loo isticmaalaa dhismaha, samaynta dambiilaha qaarkood, iwm; qaysaraan."
baanso,2,Qof buka ama dhaawac ah baan siisasho.
baaq,1,Cod dheer oo ay isugu yeeraan dad badan oo raaberaabe usocda si aanay u kala lumin
baaq,2,War cad oo rasmi ah.
baaq,3,Cod amacalaamad gaar ah oo ciidan isugu afgarto
baaq,4,Baaq samayn. baaqad  baaqasho.
baar,1,Fiidda sare ee geed ama timo iwm.
baar,2,"Geedka cawdu ka baxdo, waa dhir oo ay isku bah yihiin timirta, bixiya miraha qoonaha iyo caw oo ka baxa meelaha kulul ee biyaha leh."
baar,3,Nagaar dhulka ku faalala oo xooluhu daaqaan.
baar,4,Wax qarsoon raadin.
baaraandeg,1,Dabbaaldeg.
baaraandeg,2,"arrin, fikrad iwm aad u hubin."
baarin,1,baariyid.
baarin,2,Meesha gacatada laga qoto
baaro,1,Wasakh midab cad leh oo ka dhalata marka aan la nadiifin xubnaha taraanka dadka aan la gudin.
baaro,2,"Wax qarsoon, raadin."
baas,1,Dhibaato aad u weyn; belo.
baas,2,"Warqad aqoonsi oo lagalo meel gaar ah sida xeryaha ciidamada, dekedaha iwm."
baas,3,Rasaas si is daba joog ah u dhacda.
baas,4,"Imtixaan gudbid. Tus. Cali, imtixaankii wuu baasay."
baasho,1,Dhunkashada dhabanka ama dibnaha la iska shumiyo.
baasho,2,Baal goray iwm iyadoo libin lagu muujinayo madaxsurasho.
baasho,3,"Gammuun, baal ku dhegsasho."
babac,1,Daaddagga buurta ama taagga; hoobad.
babac,2,Si aan toos ahayn ee wax loo dhigo.
babac,3,Wax si dadab ah u dhigid.
babac,4,wax jaho uu ku toosnaa ka weecin.
bacaw,1,Qof la baaseeysto oo la aaminsanyahay in uu nasiibdarro wato.
bacaw,2,"Nooc quraanyada ka mid ah, midab cas leh, kooxkooxna u socota, aad u qurmoon oo yacayda cunta."
bad,1,"Biyo badan, dhanaan oo dhulka intiisa badan ku rogan; maanyo."
bad,2,Cid wax dhibaato leh oo aysan raalli ka ahayn ku jirrabid.
badbax,1,"Guuridda reero xagga badda guuraan si ay uga samatabbaxaan dhibaatada dhuugga, baalka iwm."
badbax,2,halis ka samatabbixid.
badbax,3,"si looga samatabbaxo dhibaatada dhuugga, baalka iwm xagga badda guurid ."
badi,1,Wax tirsama intooda badan.
badi,2,"Wax in go'an ahaa, in kale oo la nooc ah ku darid."
badi,3,cid tartan kaga adkaan.
badidhace,1,Walaxda ama qiimaha leh rakaadka ugu sarreeya ee daato.
badidhace,2,Waxa uu sheegaa laba dhinac ee geesole oo wadaaga gees.
badidhace,3,Waxa uu sheegaa laba xaglood oo wadaaga gees iyo dhinac.
badidhace,4,Laba weji oo ka mid ah wejiyada salxaale oo uu ka dhexeeyo geftin wadaag ah.
badweyn,1,"Biyo badeed badan, dhul aad u ballaaran ku fadhiya oo adduunka u kala qeybiya qaarado, sida Atlaantigga, Hindiya iwm."
badweyn,2,Meel badda dhexdeeda ah oo xeebta ka fog.
badweyn,3,"Gogol biyo cusbo leh ah oo ku wareegsan dhul weyneyaasha dunida. Biyahaas iyaga ah waxaa loo qaybiyaa dhawr qaybood oo waaweyn, dhammaantood waxay dabboolaan 71% ee dusha dunida."
bahal,1,Nafleyda inta dadka iyo duunyada wax yeeleysa ama qaabkoodabsi geliya ee aan cayayaanka ahayn.
bahal,2,Wax.
bahal,3,qof dilaa ah.
bahal,4,Wax dad dhiba.
bahal,5,Haweenwy naxriisdaran.
bal,1,Geedka galleyda ama meseggada oo aan miro lahayn.
bal,2,Qurub la isticmaalo inta badan kolka wax kabbixiwaa ah lays yeelsiiyo ama layska dhiirrigeliyo.
bal,3,"in haddii. Tus.  inaan eegi karo aan soo durko, Weyddii  inay fog tahay; ama cagajiid lagu jeedo, sida  hoo,  ina keen."
balaambal,1,balaambalid.
balaambal,2,Cid rafaad iyo dhibaato la kulmid.
balaambal,3,qof rafaad iyo dhibaato la kulmid u ooyid. 
balac,1,"Daymo, milicsi."
balac,2,"Dugaagad ballaaran, xardhan oo macdan ka samaysanoo haweenka ku xarragoodaan."
balag,1,Sixir meel la dhigo si qof meel dheer jiraa uu u yimaado barta sixirku yaallo.
balag,2,"Miraha yicibta, lebiga iwm oo curdan ah."
balag,3,Buuryo; beejo.
balambal,1,"Geed gaab dhirta daawada leh ka mid ah oo leh caleemo balballaaran, miro yaryar oo kuuskuusan iyo laamo jilicsan oo jabi og; geedjinni."
balambal,2,"dhibaati la kulmid,balambalmid "
ballan,1,Arrin laba qof ama ka badan meel marinteeda ku heshiyaan in ay meel mariyaan.
ballan,2,"Nooc bariidka waaweyn ka mid ah, oo macaan."
ballan,3,Neef indhaha beelay.
balow,1,"Cod dheer oo lo'da, geela, dadka iwm sameeyaan marka ay la kulmaan dareen ay dhibsanayaan."
balow,2,balwid.
balow,3,Geed mirood biyo ka batay awgeed aad u weynaaday oo aan miro dhalin.
balow,4,Cabsi ama xanuun dartiis la qaylin.
ban,1,Dhul bannaan oo aan dhir la hargalo lahayn.
ban,2,Saxarro jilicsan; shuban. banaadiiq m.dh.w eeg buntuq. banaatiiq.
bankarroor,1,qof fulannimo dheeraad ah ifoobay.
bankarroor,2,cabsi badan oo cidi dareento.
bankarroor,3,Cabsi badan dareemid.
bannaan,1,Dhul siman oo aan geedo iyo buuro lahayn; ban.
bannaan,2,Meel xadeysan dhulka dibadda ka ah.
bannaan,3,Meel siman oo aan geedo lahayn ahaansho; meel aan wax oollin ahaansho.
bannaan,4,Wax sharciga waafaqsan ahaansho.
bantar,1,"fal aan qiimo lahayn, kibir ku jiro oo cidi ku kacdo."
bantar,2,hilib aad caato u ah oo aan la cuni karin.
baq,1,Caano xumaaday oo aan la dhammi karin.
baq,2,Wax xumaaday oo aan la dhami karin noqosho .
baq,3,Baqdin dareemid.
baq,4,"sharci, qawaaniin iwm wax khilaafsan faliddiisa ka digtoonaan si looga baxsado ciqaabta ay jebintiisu leedahay."
baqool,1,Safar duhurkii la socdo; dhalandhool. baqoolid.
baqool,2,"Duhur, socod gelid. "
baqti,1,Nafley iyadoon la birayn nafbaxday.
baqti,2,Nafley nafbaxday oo quruntay. 
baqti,3,"Nafley, iyadoon la gawracin nafbixid. "
baqtijiid,1,Qof saqajaan ah oo aan waxba ka xishoon.
baqtijiid,2,Qof si dhaqanka iyo anshaxa ka baxsan u dilid.
bar,1,"Wax laba meelood oo is le'eg loo qaybshay, meeshood; nus. Tus. Lacagta bar i sii."
bar,2,Goobaabin yar oo meesha ku taal midab ka duwan leh.
bar,3,xoolaad: xoolo yar.
bar,4,Bar lagu dhasho oo meel xaddidan ee maqaarka ah ku taal.
baraar,1,Naylo waaweyn oo aan dhibaato mudanayn haddii naaska hooyada ay waayaan.
baraar,2,Meesha markabka loogu xiro borosinka.
baraar,3,Neef lo' ah oo leh geeso labada dhinac u kala rogan; sheexo.
baraar,4,"Barwaaqo, caafimaad iyo nabadgelyo ku noolaan."
baraarug,1,Dareen iyo feejignaan dheeraad ah oo arrin loo yeesho.
baraarug,2,Si aan caadi ahayn oo dhaqsi leh oo hurdo looga koco. baraarugid.
baraarug,3,Dugaagad bir ama maar ah oo carruurta gacanta ama lugta loogu xiro si ayan hurdada uga soo sasin.
baraarug,4,Qof iskiis hurdo uga kicid.
baraarug,5,Si aan caadi ahayn oo dhaqsi leh hurdo ugu kicid.
baraarug,6,Dareen iyo feejignaan dheeraad ah arrin u yeelasho.
barax,1,caano biyo ka yar lagu daray.
barax,2,Bardooddanka ay sameeyaan xooluhu.
barax,4,"Xoolo, bardooddan samayn."
barbaar,1,Nin dhallinyaro ah oo aan weli guursan.
barbaar,2,Dhallinyaro rag iyo naago leh oo aan weli guursan.
barbaar,3,Barbaar noqosho; korid.
barbardhac,1,"barbartan .   labo qof, koox ka badan oo tartan ku kala badin waayey."
barbardhac,2,barbardhicid.
barbardhac,3,"Labo qof, koox ama ka badan tartan ku kala badin waayid."
barbax,1,Xilli kulul oo biyo iyo baadba ciriiri yihiin.
barbax,2,"Wax looga baxo dhibaatada xilli kulul sida baad, raashin, biyo."
barbax,3,K xilli kulul oo biyo iyo baadba ciriiri yihiin meel ugnaan.
barbax,4,dhibaato xilli kulul ka samatabixid .
bardad,1,Cabsi iyo naxdin weyn oo qofka ka lumisa is hanashada.
bardad,2, argaggexid.
bareer,1,Fal ulakac ah oo aan qarsoodi ahayn; caddaan; kas.
bareer,2,fal ulakac ah oo aan qarsoodi ahayn ku kicid.
bareer,3,si toos ah oo aan gabbasho lahayn qof ama shay u wajahid.
bari,1,Jahada ay qoraxda ka soo baxdo. bari2 m.dh . Cadka baruurta ah oo ka baxa
bari,2,Cid wax ay leedahay ama ka mas'uul tahay si debecsan u weyddiisasho.
bari,3,Habeen meel u hoyasho.
bariiso,1,Waqtiga u dhexeeya qorax soobaxa ilaa ay qoraxdu diirimaad dhaxanta kiciya ka yeelato.
bariiso,2,Roob da'a arooryada hore.
bariiso,3,Meel lagu hoyaday ilaa diirimaadka qorraxdu dhaxanta kiciyo ugnaan.
barkin,1,"Qori si wanaagsan loo qorey, leh madax qaab bileed ah oo la barkado,lug, gacan gelis ama gacan qabsi ah iyo sal wareegsan, ballaaran oo uu ku fariisto. barshin."
barkin,2,"Kiish maro ah oo cudbi, isbuunyo iwm laga buuxiyo oo la barkado. barkimo."
baro,1,Degaan lagu dhasho ama lagu dhaqmo; guri.
baro,2,Goobta lagayaaro ciyaarta xayaadka.
baro,3,Aqoon kororsasho.
baro,4,wax caado ka yeelasho.
baroor,1,Midab caddaan boor leh ah oo ay farduhu yeeshaan.
baroor,2,Qaylo dheer cataw iyo ilmo leh oo ay haweenameeyaan marka ay dhibaato la kulmaan.
baroor,3,Meseggo aan bislaan oo sabuul ku taal.
baroor,4,Oohin iyo cataw kor ugu dhawaaqid.
barraah,1,Caws dhuudhuuban ee uu soo saaro roobka ugu horreeya ee da'a.
barraah,2,Dhul roobkii ugu horreeyey ku da'ay caws dhuudhuuban ka soo bixid.
barriiqo,1,Raadka uu wax sabiibixday dhulka ku reebo.
barriiqo,2, wax meel sibiibix ah idbasho.
bas,1,Geeri caadi ah ee ku timaaddo qof tiisii gashay.
bas,2,Baabbuur weyn oo dedan oo daaqada muraayado ah iyo kuraas leh oo rakaabka qaado.
bas,3,Wax gubasho ku dhammaaday oo dambas noqday.
bas,4,Wax shidan dambas noqosho.
bas,5,Ood iwm duugnimo awgeed la baabi'id.
basaas,1,"Qof, sir cidi leedahay raadiya, una gudbiya cid kale oo ay dan u tahay."
basaas,2,"Qof, sir dawladeed raadiya, una gudbiya dawlad kale; sirdoon."
basaas,3,"Qallaylka, googgo'a iyo midab doorsoonka ku dhaca timaha marka aan muddo dufan la marin."
basaas,4,"Cid sirteeda, cid kale oo ay dan u tahay udbin."
basar,1,Hab iyo hannaan qof bulsho uu la noolyahay ula dhaqmo.
basar,2,Tab iyo xeelad qof adeegsado si uu arrin ugu xalliyo.
basar,3,Wax si tab iyo xeelad leh u xallin.
basari,1,Baali; areebo; arraajo.
basari,2,Qof si tab iyo xeelad leh u qancin.
bash,1,Guddi ka kooban shan oday oo hoos yimaada dawladda ingiriiska.
bash,2,Biyo  ka sii: biyo ku firdhin.
bash,3,Dharbaaxo  ka sii: si kedis ah dharbaaxo qof ugu dhufasho.
batraan,1,Kibir badan.
batraan,2,islaweyni
bayhoof,1,qof busaaradi hayso oo baahidiisa meel uu la aado aan garanayn.
bayhoof,2, rafaad iyo dhibaato dhaqaale la kulmid.
bayhoof,3,Qurbe dhibaato kala kulmid; qof busaarad
bayl,1,"Suun ballaaran, cad oo dun ama maqaar ka samaysan oo ay ciidamadu qaataan"
bayl,2,Biyo aad u karkarid.
bayr,1,"Nuxurka hadal, dood iwm aleysanyahay."
bayr,2,Iin maanka iyo muruqyada nafleyda ku dhaca oo keenta in laga dido ama laga boodo wax aan la hubsan; salaaf; biinan.
bayr,3,Wax toos u socda dhan u weecasho.
bed,1,Masaaxa dhul ku fadhiiyo.
bed,2,Summad a Cabbirka ama baaxadda dul. Dushu waxa ay noqon kartaa dul sallax ah ama dul xoodan. Halbeegga caalamiga ah ee bedka waa mitir labajibbaaran .
bed,3,Caafimaad; ladnaan.
beddel,1, Dhaafsashada wax wax kale la dhaafsado.
beddel,2,Wareejinta qof meel uu hawl ka hayey laga wareejiyo iyadoo meel kale la geynayo.
beddel,3,qof meel uu hawl ka hayey laga wareejiyo iyadoo meel kale la geynayo si uu hawshii halka uga si wato.
beddel,4,Wax la beddelay ka dhigid; wax wax kale ku doorin. baddal2.
